Assignment_number, hyperlink
Assignment1, https://chat.openai.com/share/78ab4297-9f24-4f67-aab6-5e9468b74f4a
Assignment2, https://chat.openai.com/share/9a6a908e-e4dd-45b5-8bc5-73c2d3c2dc30
Assignment3, https://chat.openai.com/share/9a6a908e-e4dd-45b5-8bc5-73c2d3c2dc30
Assignment4, https://chat.openai.com/share/6bb1f6ae-1be8-49e6-867b-173225ee75d3
